Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width,Krumbein Rnd,label
203,15931.0,1.002,1.127,0.899,1.466,0.882,1.431,0.863,0.867,0.609,0.789,3.541,0.799,3.53,0.889,1.662,0.602,0.684,0.467,0.603,0.791,0.987,0.013,0.997,0.61,0.0,0.318,0.141,3.156,1.632,0.613,1.018,0.982,3.198,0.89,47.143,1.659,0.858,0.759,0.662,2
72,8496.0,0.998,1.456,0.537,2.128,0.537,1.96,0.534,0.534,0.322,0.782,4.574,0.839,4.541,0.685,3.961,0.252,0.469,0.22,0.272,0.47,0.932,0.068,0.993,0.684,0.0,0.288,0.0,3.128,3.961,0.252,1.0,1.0,3.357,0.537,39.0,3.671,1.855,0.421,0.516,2
4939,17321.0,0.996,1.18,1.036,1.482,0.354,1.426,0.334,0.989,0.284,0.78,3.708,0.817,3.57,0.844,4.19,0.239,0.673,0.452,0.234,0.712,0.954,0.046,0.963,1.488,0.0,0.499,0.0,3.119,1.43,0.699,2.93,0.341,3.269,0.695,58.333,4.271,1.451,0.633,0.642,2
2203,16506.0,0.995,1.329,1.06,2.209,0.155,2.155,0.151,0.977,0.19,0.778,4.175,0.802,4.134,0.749,14.265,0.07,0.45,0.203,0.07,0.561,0.969,0.031,0.99,2.273,0.0,0.481,0.145,3.11,2.085,0.48,6.841,0.146,3.209,0.607,55.0,14.25,2.044,0.216,0.733,2
3003,16656.0,0.995,1.143,0.692,1.667,0.661,1.643,0.66,0.703,0.399,0.777,3.591,0.79,3.576,0.87,2.523,0.396,0.597,0.356,0.402,0.757,0.984,0.016,0.996,0.706,0.0,0.235,0.0,3.11,2.407,0.416,1.048,0.954,3.16,0.677,37.0,2.489,1.243,0.68,0.798,2
1606,16420.0,0.983,1.428,0.792,2.893,0.383,2.713,0.37,0.758,0.459,0.759,4.487,0.82,4.412,0.688,7.556,0.132,0.34,0.115,0.136,0.474,0.925,0.075,0.983,0.685,0.0,0.443,0.121,3.035,3.654,0.274,2.068,0.484,3.281,0.587,43.333,7.329,2.672,0.355,0.639,2
90,9821.0,0.983,1.116,0.729,1.329,0.729,1.352,0.722,0.722,0.37,0.758,3.507,0.786,3.416,0.88,1.823,0.549,0.739,0.546,0.534,0.775,0.965,0.035,0.974,0.782,0.0,0.494,0.0,3.034,1.823,0.549,1.0,1.0,3.144,0.729,35.625,1.874,0.0,0.0,0.64,2
322,16091.0,0.977,1.592,0.662,2.568,0.385,2.505,0.371,0.618,0.343,0.75,5.001,0.809,4.944,0.614,6.664,0.15,0.381,0.145,0.148,0.377,0.928,0.072,0.989,0.758,0.0,0.442,0.125,3.001,3.876,0.258,1.719,0.582,3.234,0.524,37.5,6.761,2.339,0.304,0.943,2
1342,16380.0,0.966,1.113,0.851,1.593,0.699,1.427,0.677,0.826,0.496,0.733,3.497,0.756,3.466,0.868,2.281,0.438,0.606,0.367,0.474,0.753,0.969,0.031,0.991,0.658,0.0,0.348,0.078,2.93,1.873,0.534,1.218,0.821,3.023,0.775,30.909,2.109,1.217,0.599,0.822,2
310,16078.0,0.964,1.326,0.663,1.836,0.5,1.889,0.476,0.635,0.319,0.731,4.166,0.783,4.088,0.727,3.671,0.272,0.525,0.276,0.252,0.529,0.932,0.068,0.981,0.796,0.0,0.447,0.0,2.922,2.768,0.361,1.326,0.754,3.134,0.582,42.727,3.972,1.673,0.391,0.6,2
